Threshold,Accuracy,Precision,Recall,F1
0.1,0.965,0.49122807017543857,0.8235294117647058,0.6153846153846154
0.15,0.9725,0.5670103092783505,0.8088235294117647,0.6666666666666666
0.2,0.979,0.6547619047619048,0.8088235294117647,0.7236842105263158
0.25,0.9825,0.726027397260274,0.7794117647058824,0.75177304964539
0.3,0.983,0.75,0.75,0.75
0.35,0.9835,0.7777777777777778,0.7205882352941176,0.7480916030534351
0.4,0.983,0.8035714285714286,0.6617647058823529,0.7258064516129032
0.45,0.984,0.8333333333333334,0.6617647058823529,0.7377049180327869
0.5,0.9845,0.8627450980392157,0.6470588235294118,0.7394957983193278
0.55,0.982,0.8636363636363636,0.5588235294117647,0.6785714285714286
0.6,0.982,0.8809523809523809,0.5441176470588235,0.6727272727272727
0.65,0.981,0.8947368421052632,0.5,0.6415094339622641
0.7,0.9795,0.9354838709677419,0.4264705882352941,0.5858585858585859
